NameFO,NameBayRegion
   1. Центральный ФО,01 Европейская часть
Белгородская область,
Владимирская область,
Воронежская область,
Ивановская область,
Калужская область,
Костромская область,
Курская область,
Липецкая область,
Московская область,
Орловская область,
Рязанская область,
Смоленская область,
Тамбовская область,
Тверская область,
Тульская область,
Ярославская область ,
   2. Южный ФО,04 Юг и Кавказ
Республика Адыгея,
Республика Калмыкия,
Краснодарский край,
Астраханская область,
Волгоградская область,
Ростовская область ,
   3. Северо-западный ФО,02 Северо-Запад
Республика Карелия,
Республика Коми,
Архангельская область,
Вологодская область,
Калининградская область,
Ленинградская область,
Мурманская область,
Новгородская область,
Псковская область,
Ненецкий АО,
   4. Дальневосточный ФО,06 Дальний Восток и Север
Республика Саха (Якутия),Якутия-Саха
Камчатский край,
Приморский край,
Хабаровский край,
Амурская область,
Магаданская область,
Сахалинская область,
Еврейская автономная область,
Чукотский АО,
   5. Сибирский ФО,05 Сибирь
Республика Алтай,
Республика Бурятия,
Республика Тыва,
Республика Хакасия,
Алтайский край,
Забайкальский край,
Красноярский край,
Иркутская область,
Кемеровская область,
Новосибирская область,
Омская область,
Томская область ,
   6. Уральский ФО,
Курганская область,
Свердловская область,
Тюменская область,
Челябинская область,
Ханты-Мансийский АО- Югра,Ханты - Мансийский АО
Ямало-Ненецкий АО,Ямало - Ненецкий АО
   7. Приволжский ФО,03 Урал и Поволжье
Республика Башкортостан,
Республика Марий  Эл,Республика Марий Эл
Республика Мордовия,
Республика Татарстан,
Удмуртская Республика,
Чувашская Республика,Чувашия
Пермский край,
Кировская область,
Нижегородская область,
Оренбургская область,
Пензенская область,
Самарская область,
Саратовская область,
Ульяновская область ,
   8. Северо-Кавказский ФО,04 Юг и Кавказ
Республика Дагестан,
Республика Ингушетия,
Кабардино-Балкарская Республика,
Карачаево-Черкесская Республика,
Республика Северная Осетия - Алания,Республика Северная Осети
Чеченская Республика,
Ставропольский край,
